id,analyticsPeriodBoundaryType,boundaryTarget,offsetPeriods,offsetPeriodType,sharing,__fk
bnJxbfHOWRj,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,ApYgClc8SVA
fIepMRvu55n,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,ApYgClc8SVA
flAI6jwwBb1,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,FiF48XVTo8s
tT4ZHqCsARb,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,FiF48XVTo8s
LermFz6dcz1,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,J4nrp0CYvO8
OLzVnKTdFyJ,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,J4nrp0CYvO8
K2gRtBva87f,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,JPtrr8SWsHW
T57LNbs4Ida,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,JPtrr8SWsHW
G8v1hzV24Np,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,SFT8PJJoPRZ
z5gaawxTyCy,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,SFT8PJJoPRZ
Kx4qquzgCT9,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,Scio2GndATI
O2GvGNfTr6X,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,Scio2GndATI
JRF7N7yrBNS,BEFORE_END_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,bpsntltaU4y
suoASE4QBEk,AFTER_START_OF_REPORTING_PERIOD,ENROLLMENT_DATE,,,,bpsntltaU4y
