id,code,name,shortName,openingDate,closedDate,level,parent,image,sharing
O7YVa6X3etH,AL,Albania,Albania,2023-01-01,,2,ZUyrQs4JvEA,,
dZ1NYgFJzo5,AT,Austria,Austria,2023-01-01,,2,ZUyrQs4JvEA,,
ai1VMkp7MYJ,BE,Belgium,Belgium,2023-01-01,,2,ZUyrQs4JvEA,,
MxiMUeowuPn,BG,Bulgaria,Bulgaria,2023-01-01,,2,ZUyrQs4JvEA,,
o8AWc4fNhI5,CH,Switzerland,Switzerland,2023-01-01,,2,ZUyrQs4JvEA,,
HV0xP5KHGlD,CY,Cyprus,Cyprus,2023-01-01,,2,ZUyrQs4JvEA,,
cnxeBo2rfI0,CZ,Czechia,Czechia,2023-01-01,,2,ZUyrQs4JvEA,,
tKN7349UljV,DE,Germany,Germany,2023-01-01,,2,ZUyrQs4JvEA,,
Z0NwCjwAd6s,DK,Denmark,Denmark,2023-01-01,,2,ZUyrQs4JvEA,,
oCIrEvEuEMe,EE,Estonia,Estonia,2023-01-01,,2,ZUyrQs4JvEA,,
jn8VUBSGMLJ,ES,Spain,Spain,2023-01-01,,2,ZUyrQs4JvEA,,
F1BmzX94889,FI,Finland,Finland,2023-01-01,,2,ZUyrQs4JvEA,,
wx07pViIn1Z,FR,France,France,2023-01-01,,2,ZUyrQs4JvEA,,
FeZZzIYYiHJ,GB,United Kingdom,UK,2023-01-01,,2,ZUyrQs4JvEA,,
ZMkqqembM6a,GR,Greece,Greece,2023-01-01,,2,ZUyrQs4JvEA,,
HlL251NBKCy,HR,Croatia,Croatia,2023-01-01,,2,ZUyrQs4JvEA,,
i1XZnf356As,HU,Hungary,Hungary,2023-01-01,,2,ZUyrQs4JvEA,,
OCrx3qP91nj,IE,Ireland,Ireland,2023-01-01,,2,ZUyrQs4JvEA,,
aK71S5CDImN,IS,Iceland,Iceland,2023-01-01,,2,ZUyrQs4JvEA,,
VPKU4h5Ny8H,IT,Italy,Italy,2023-01-01,,2,ZUyrQs4JvEA,,
tq2zUIdQIQ7,LI,Liechtenstein,Liechtenstein,2023-01-01,,2,ZUyrQs4JvEA,,
bMRFEIg8pU7,LT,Lithuania,Lithuania,2023-01-01,,2,ZUyrQs4JvEA,,
KyHYw0qvkyF,LU,Luxembourg,Luxembourg,2023-01-01,,2,ZUyrQs4JvEA,,
LtfdNUebXfJ,LV,Latvia,Latvia,2023-01-01,,2,ZUyrQs4JvEA,,
rlV3GMhi1tD,ME,Montenegro,Montenegro,2023-01-01,,2,ZUyrQs4JvEA,,
Q2k0OOA3PvR,MK,North Macedonia,North Macedonia,2023-01-01,,2,ZUyrQs4JvEA,,
cucs0V94O6x,MT,Malta,Malta,2023-01-01,,2,ZUyrQs4JvEA,,
ZUyrQs4JvEA,NEOIPC,NeoIPC,NeoIPC,2023-01-01,,1,,,
Dp6elbeW9rd,NL,Netherlands,Netherlands,2023-01-01,,2,ZUyrQs4JvEA,,
Hzsp9cDqL8v,NO,Norway,Norway,2023-01-01,,2,ZUyrQs4JvEA,,
FnzFDQotgEF,NP,Nepal,Nepal,2023-01-01,,2,ZUyrQs4JvEA,,
SgMCyQO2nH4,PL,Poland,Poland,2023-01-01,,2,ZUyrQs4JvEA,,
Gk1IZg10FDb,PT,Portugal,Portugal,2023-01-01,,2,ZUyrQs4JvEA,,
KdWzqv8tQuI,RO,Romania,Romania,2023-01-01,,2,ZUyrQs4JvEA,,
JAcgjx4YtwP,RS,Serbia,Serbia,2023-01-01,,2,ZUyrQs4JvEA,,
W9jyN9gEZDY,SE,Sweden,Sweden,2023-01-01,,2,ZUyrQs4JvEA,,
br6gNfI6AgL,SI,Slovenia,Slovenia,2023-01-01,,2,ZUyrQs4JvEA,,
bB6E0LJ12W2,SK,Slovakia,Slovakia,2023-01-01,,2,ZUyrQs4JvEA,,
BlLWKQL3V1J,TEST_UNITS,Test Units,Test Units,2023-01-01,,2,ZUyrQs4JvEA,,
Vf54CxEEFnK,TR,Türkiye,Türkiye,2023-01-01,,2,ZUyrQs4JvEA,,
AIsefdyU6b3,UA,Ukraine,Ukraine,2023-01-01,,2,ZUyrQs4JvEA,,
sjNuvYmagtK,ZA,South Africa,South Africa,2023-01-01,,2,ZUyrQs4JvEA,,
