id,code,name,description,authorities,restrictions,sharing
HhPyparp7LL,,Base,The base role with no explicit right but dashboard and browser cache cleaner access.,M_dhis-web-cache-cleaner M_dhis-web-dashboard,,PUBLIC_RW
IeOFqOq8C64,,Data entry,A role for users who can enter data via tracker capture,M_dhis-web-tracker-capture,,PUBLIC_RW
GuDCEG5fXdn,,Metadata export,Gets the right to export metadata,F_METADATA_EXPORT,,PUBLIC_RW
Kx7Qm2Vb9Lt,NEOIPC_ADMIN,NeoIPC Admin,NeoIPC reporting administration: Reference Report live generation plus reference-data and validation-exception management in the NeoIPC reporting app.,F_NEOIPC_ADMIN M_neoipcapp,,PUBLIC_RW
GYL3tFe0NdF,,NeoDecoExport,Export App for NeoDeco,F_EXPORT_DATA F_EXPORT_EVENTS F_METADATA_EXPORT F_VIEW_EVENT_ANALYTICS M_NeoIPC_NeoDeco_Export,,PUBLIC_RW
Ec4B4EEQg2b,,Nothing,"A role that does not and will never have any explicit rights, so that it can only access publicly visible objects.",,,PUBLIC_RW
G3910GlHxL7,,Organisation Unit Manager,Can manage manage organisation units,F_ORGANISATIONUNIT_ADD F_ORGANISATIONUNIT_DELETE F_ORGANISATIONUNIT_MOVE F_ORGANISATION_UNIT_MERGE F_ORGANISATION_UNIT_SPLIT M_dhis-web-dashboard M_dhis-web-maintenance,,PUBLIC_RW
VPrbI6LRl3M,,ReportViewer,Can view the NEO IPC Analysis  App,F_EXPORT_DATA F_METADATA_EXPORT F_NEOIPC_REPORT F_VIEW_EVENT_ANALYTICS M_NeoIPC_Unit_Report M_neoipcapp,,PUBLIC_RW
UPF7N5ryEUJ,,Self-registered,The default role for self-registered users,M_dhis-web-dashboard,,PUBLIC_RW
ARp217GrqEZ,,StandardUserRole,This once was the NeoIPC Standard User but is no longer,F_APPROVE_DATA_LOWER_LEVELS F_EDIT_EXPIRED F_ENROLLMENT_CASCADE_DELETE F_METADATA_EXPORT F_PROGRAM_DASHBOARD_CONFIG_ADMIN F_RUN_VALIDATION F_TEI_CASCADE_DELETE F_TRACKED_ENTITY_INSTANCE_SEARCH_IN_ALL_ORGUNITS F_TRACKED_ENTITY_MERGE F_TRACKED_ENTITY_UPDATE F_TRACKER_IMPORTER_EXPERIMENTAL F_UNCOMPLETE_EVENT F_USER_VIEW F_VIEW_EVENT_ANALYTICS F_VIEW_UNAPPROVED_DATA M_dhis-web-cache-cleaner M_dhis-web-capture M_dhis-web-dashboard M_dhis-web-reports M_dhis-web-tracker-capture,,PUBLIC_RW
yrB6vc5Ip3r,Superuser,Superuser,Superuser,ALL F_ACCEPT_DATA_LOWER_LEVELS F_APPROVE_DATA F_APPROVE_DATA_LOWER_LEVELS F_DATAVALUE_ADD F_DATAVALUE_DELETE F_EDIT_EXPIRED F_ENROLLMENT_CASCADE_DELETE F_EXPORT_DATA F_EXPORT_EVENTS F_GENERATE_MIN_MAX_VALUES F_IMPORT_DATA F_IMPORT_EVENTS F_INSERT_CUSTOM_JS_CSS F_LOCALE_ADD F_METADATA_EXPORT F_METADATA_IMPORT F_ORGANISATIONUNIT_MOVE F_ORGANISATION_UNIT_MERGE F_ORGANISATION_UNIT_SPLIT F_ORG_UNIT_PROFILE_ADD F_PERFORM_ANALYTICS_EXPLAIN F_PERFORM_MAINTENANCE F_PREDICTOR_RUN F_PROGRAM_DASHBOARD_CONFIG_ADMIN F_REPLICATE_USER F_RUN_VALIDATION F_SEND_EMAIL F_SKIP_DATA_IMPORT_AUDIT F_TEI_CASCADE_DELETE F_TRACKED_ENTITY_INSTANCE_SEARCH_IN_ALL_ORGUNITS F_TRACKED_ENTITY_MERGE F_TRACKER_IMPORTER_EXPERIMENTAL F_UNCOMPLETE_EVENT F_USERGROUP_MANAGING_RELATIONSHIPS_ADD F_USERGROUP_MANAGING_RELATIONSHIPS_VIEW F_USER_GROUPS_READ_ONLY_ADD_MEMBERS F_USER_VIEW F_VIEW_EVENT_ANALYTICS F_VIEW_SERVER_INFO F_VIEW_UNAPPROVED_DATA,,PUBLIC_RW
R2ut3UfHqDZ,,Update Delete User,"A user with special rights like uncompleting events, updating tracked entity instances and deleting enrollments..",F_ENROLLMENT_CASCADE_DELETE F_TEI_CASCADE_DELETE F_TRACKED_ENTITY_MERGE F_TRACKED_ENTITY_UPDATE F_UNCOMPLETE_EVENT,,PUBLIC_RW
Mzn3a0kje1N,,User Manager,Can manage users within managed groups,F_SEND_EMAIL F_USERGROUP_PUBLIC_ADD F_USERROLE_PUBLIC_ADD F_USER_ADD F_USER_ADD_WITHIN_MANAGED_GROUP F_USER_DELETE F_USER_DELETE_WITHIN_MANAGED_GROUP F_USER_GROUPS_READ_ONLY_ADD_MEMBERS F_USER_VIEW M_dhis-web-cache-cleaner M_dhis-web-dashboard M_dhis-web-tracker-capture M_dhis-web-user,,PUBLIC_RW
qttHu2VI51O,,UserReader,Can Read User Information (No Edit!),F_USER_VIEW,,PUBLIC_RW
